familyname	maxgap	sex
LTR10G	0.5460154274190003	male
LTR11	0.06108709572624993	female
LTR11	0.07599965405928699	male
LTR12	1.8772697596869818	female
LTR12	2.559817819977013	male
LTR12B	1.711857607372906	female
LTR12B	0.5563843580095948	male
LTR12C	18.915233425659835	female
LTR12C	28.513150575169902	male
LTR12D	7.786599829409994	female
LTR12D	4.038602275170973	male
LTR12E	4.15303217213102	female
LTR12E	15.625501227558004	male
LTR12F	6.194924460600987	female
LTR12F	4.780791542847965	male
LTR13	6.101279272352997	female
LTR13	5.680662704745998	male
LTR13A	2.238895935757995	female
LTR13A	3.628193221337	male
LTR14	0.5244166913469002	female
LTR14	1.624292551772001	male
LTR14A	1.7885970801410167	female
LTR14A	1.6888399890739976	male
LTR14B	1.3949087174850092	female
LTR14B	1.1967238982010002	male
LTR14C	3.411453651137492	female
LTR14C	7.318346740860008	male
LTR15	3.0143165111810077	female
LTR15	2.41692818445199	male
LTR16	0.0696430358712603	female
LTR16	0.051742705237249886	male
LTR16A	0.04498974643193998	female
LTR16A	0.023839488396409925	male
LTR16A1	0.0749704550610999	female
LTR16A1	0.08179850946299005	male
LTR16A2	0.052212189716239976	female
LTR16A2	0.026100033857159977	male
LTR16B	0.03431542945568	female
LTR16B	0.044351813881509994	male
LTR16B1	0.036565170920449974	female
LTR16B1	0.05974429804228021	male
LTR16B2	0.041218535036835924	female
LTR16B2	0.03953886804099005	male
LTR16C	0.2301475232232093	female
LTR16C	0.06719535168550994	male
LTR16D	0.030718398766094	female
LTR16D	0.016070399857121997	male
LTR16D1	0.005730364380952799	female
LTR16D1	0.013924873860550996	male
LTR16D2	0.005121073783314001	female
LTR16D2	0.005644129316925199	male
LTR16E	0.015505581277205999	female
LTR16E	0.016122105888368987	male
LTR16E1	0.1657445508470099	female
LTR16E1	0.028949250513830016	male
LTR16E2	0.016119067856488978	female
LTR16E2	0.009606694461461007	male
LTR17	4.097939833508008	female
LTR17	6.563310455533951	male
LTR18A	2.898586290446403	female
LTR18A	4.729672737162005	male
LTR18B	1.0226689012013992	female
LTR18B	1.0954821825216001	male
LTR18C	0.6237730993298953	female
LTR18C	0.40230165816929997	male
LTR19A	1.916365494501008	female
LTR19A	3.230054026141005	male
LTR19B	1.5553564871780026	female
LTR19B	1.8773166218379913	male
LTR19C	0.3158606581198029	female
LTR19C	0.31458916100870127	male
LTR1A1	4.570219519917998	female
LTR1A1	4.582218711363993	male
LTR1A2	4.2015131005250055	female
LTR1A2	1.3187758582769789	male
LTR1B	0.8422018804615021	female
LTR1B	0.3978359358297041	male
LTR1B0	0.5648182560240969	female
LTR1B0	0.7413469224724949	male
LTR1B1	1.158883936530998	female
LTR1B1	0.8722607164596994	male
LTR1C	0.40331686179469983	female
LTR1C	0.34763848840839984	male
LTR1C1	0.3240920708229993	female
LTR1C1	0.633015128574403	male
LTR1C2	0.0632669694055199	female
LTR1C2	0.059654723573900004	male
LTR1C3	0.3175627969904973	female
LTR1C3	0.08416720763129959	male
LTR1D	2.6451515683724978	female
LTR1D	1.9535272846755873	male
LTR1D1	0.5102093011042967	female
LTR1D1	0.43663991808550406	male
LTR1E	0.5545330344398991	female
LTR1E	0.4534722748516984	male
LTR1F	0.24034778729770068	female
LTR1F	0.3548009946409998	male
LTR1F1	0.8500034471844984	female
LTR1F1	0.4608534897026999	male
LTR1F2	0.9248448294004028	female
LTR1F2	0.6683428514660008	male
LTR2	0.16263867318090064	female
LTR2	0.46907717782250025	male
LTR21A	0.6167267264936989	female
LTR21A	0.32319862256260024	male
LTR21B	0.10849615045840011	female
LTR21B	0.23021628688466045	male
LTR21C	0.14645630914642105	female
LTR21C	0.1425716432979005	male
LTR22	0.5820412708313043	female
LTR22	4.2328055272677005	male
LTR22A	0.6716168218565883	female
LTR22A	1.6142081000253086	male
LTR22B	1.0300454704686999	female
LTR22B	1.0443837082882936	male
LTR22B1	0.7509766249652046	female
LTR22B1	0.3217130859228021	male
LTR22B2	0.18145394916769853	female
LTR22B2	0.3273813800416008	male
LTR22C	0.20698708477587946	female
LTR22C	0.10162966635814108	male
LTR22C2	0.4505327868364013	female
LTR22C2	0.6691373421254987	male
LTR22E	0.5328496423165987	female
LTR22E	1.4819133700958034	male
LTR23	1.2917372498135933	female
LTR23	0.4598522617731078	male
LTR24	0.46813268503159833	female
LTR24	1.6153089766324982	male
LTR24B	0.5119168290099978	female
LTR24B	0.9883344508175966	male
LTR24C	1.402755552119899	female
LTR24C	0.5273229478509052	male
LTR25	1.0748311173070988	female
LTR25	2.1988099177277007	male
LTR25-int	0.08342053141180017	female
LTR25-int	0.2091393125261991	male
LTR26	0.868220955559508	female
LTR26	1.8542778714917034	male
LTR26B	0.5088790418948008	female
LTR26B	0.4653083179868993	male
LTR26C	0.2743694058986996	female
LTR26C	0.9646256433146991	male
LTR26D	1.2423980959193983	female
LTR26D	0.6192106162912978	male
LTR26E	0.2329264966025999	female
LTR26E	0.18718423551469954	male
LTR27	0.2479860332135999	female
LTR27	0.5873419791952976	male
LTR2752	0.5290395820609959	female
LTR2752	0.7532329598608953	male
LTR27B	0.4491128855559978	female
LTR27B	0.5040871038901997	male
LTR27C	0.1653679536580004	female
